code	type	faculty	teacher	place	units	url	people	A	B	C	D	F	other	mean
10806011	学部	"○文化情報学入門
Introduction to Culture and Information Science"	"鋤柄　俊夫
星　英仁
伊藤　紀子
金　明哲
福田　智子
阪田　真己子
下嶋　篤
津村　宏臣
杉本　裕二
杉尾　武志
宿久　洋
矢野　環
波多野　賢治
鄭　躍軍
深川　大路
石岡　学
大塚　幸生
玉谷　充
柳沢　英輔
原　尚幸
河瀬　彰宏
浦部　治一郎
川﨑　廣𠮷
山内　信幸
田口　哲也
沈　力
中安　真理
田中　雄"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806011000.html	298.0	65.4	12.1	11.4	5.4	5.7	0.0	3.3
10806012-001	学部	"△コロキアム-1
Colloquium-1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
下嶋　篤
杉本　裕二
宿久　洋
深川　大路
石岡　学
柳沢　英輔
原　尚幸
川﨑　廣𠮷
山内　信幸
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806012001.html								
10806012-002	学部	"△コロキアム-2
Colloquium-2"	"金　明哲
阪田　真己子
下嶋　篤
津村　宏臣
杉尾　武志
矢野　環
波多野　賢治
大塚　幸生
玉谷　充
河瀬　彰宏
浦部　治一郎
田口　哲也
沈　力
中安　真理"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806012002.html								
10806013	学部	"△ジョイント・リサーチ演習１
Joint Research Practicum 1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
矢野　環
大浦　真
柳沢　英輔
山内　信幸
田口　哲也
沈　力
中安　真理
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806013000.html								
10806021	学部	"△ジョイント・リサーチ演習２
Joint Research Practicum 2"	"金　明哲
阪田　真己子
下嶋　篤
杉尾　武志
鄭　躍軍
松田　佳尚
石岡　学
大塚　幸生
河瀬　彰宏
浦部　治一郎
藤田　成隆
濱田　大佐"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806021000.html								
10806022	学部	"○ジョイント・リサーチ演習３
Joint Research Practicum 3"	"阪田　真己子
宿久　洋
竹野　倫彰
玉谷　充
原　尚幸
河瀬　彰宏"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806022000.html								
10806031-002	学部	"○ジョイント・リサーチⅠ-2
Joint Research I-2"	"宿久　洋
波多野　賢治
深川　大路"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031002.html	21.0	61.9	28.6	0.0	0.0	9.5	0.0	3.3
10806031-007	学部	"○ジョイント・リサーチⅠ-7
Joint Research I-7"	"川﨑　廣𠮷
沈　力"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031007.html	11.0	63.6	27.3	9.1	0.0	0.0	0.0	3.5
10806031-010	学部	"○ジョイント・リサーチⅠ-10
Joint Research I-10"	"石岡　学
山内　信幸
田口　哲也"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031010.html	25.0	100.0	0.0	0.0	0.0	0.0	0.0	4.0
10806031-011	学部	"○ジョイント・リサーチⅠ-11
Joint Research I-11"	"津村　宏臣
杉本　裕二
岸田　徹"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031011.html	16.0	37.5	50.0	6.3	0.0	6.3	0.0	3.1
10806031-012	学部	"○ジョイント・リサーチⅠ-12
Joint Research I-12"	"浦部　治一郎
川﨑　廣𠮷"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031012.html	16.0	62.5	37.5	0.0	0.0	0.0	0.0	3.6
10806031-015	学部	"○ジョイント・リサーチⅠ-15
Joint Research I-15"	"伊藤　紀子
阪田　真己子"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031015.html	22.0	86.4	9.1	4.5	0.0	0.0	0.0	3.8
10806031-016	学部	"○ジョイント・リサーチⅠ-16
Joint Research I-16"	"星　英仁
杉尾　武志
大塚　幸生"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031016.html	27.0	51.9	25.9	11.1	7.4	3.7	0.0	3.1
10806031-017	学部	"○ジョイント・リサーチⅠ-17
Joint Research I-17"	"金　明哲
鄭　躍軍"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031017.html	21.0	33.3	52.4	14.3	0.0	0.0	0.0	3.2
10806031-019	学部	"○ジョイント・リサーチⅠ-19
Joint Research I-19"	"星　英仁
沈　力
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031019.html	14.0	50.0	21.4	0.0	7.1	21.4	0.0	2.7
10806031-021	学部	"○ジョイント・リサーチⅠ-21
Joint Research I-21"	"津村　宏臣
杉本　裕二
岸田　徹"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031021.html	16.0	31.3	25.0	31.3	12.5	0.0	0.0	2.8
10806031-024	学部	"○ジョイント・リサーチⅠ-24
Joint Research I-24"	"福田　智子
深川　大路
河瀬　彰宏"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031024.html	16.0	31.3	31.3	25.0	6.3	6.3	0.0	2.8
10806031-025	学部	"○ジョイント・リサーチⅠ-25
Joint Research I-25"	"福田　智子
矢野　環
髙橋　美都"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806031025.html	19.0	47.4	36.8	5.3	5.3	5.3	0.0	3.2
